Date,APPL,MSFT,ORCL,INTC,MSI,ADBE,TXN,SONY,LOGI
13/11/00,0.345982,33.21875,24.75,38.1875,82.536484,36.03125,42.3125,79.0625,6.625
14/11/00,0.361607,34.40625,28.375,40.9375,86.832901,40.8125,45.6875,80.875,7.15625
15/11/00,0.354911,35.03125,28.875,41.5,85.928391,40.59375,48,79,7.5
16/11/00,0.339286,34.46875,27.375,40,83.214867,40.75,46.5,75.875,7.890625
17/11/00,0.330357,34.53125,28.8125,41.5,81.179718,41.375,43.75,75.625,7.75
20/11/00,0.33817,33.59375,24.75,41.125,82.536484,38,42.3125,73.3125,7.5625
21/11/00,0.335938,33.875,23.875,42.625,80.95359,40,41.9375,72.9375,7.03125
22/11/00,0.330357,34.125,22.3125,41.1875,75.97879,36.15625,41.6875,72.1875,7.125
24/11/00,0.344866,34.96875,24.125,43.9375,79.822952,37.9375,44,75.75,7.6875
27/11/00,0.333705,35.34375,23.125,43.9375,78.466187,34.40625,44.25,80.4375,8
28/11/00,0.321987,33.5,22.65625,42.03125,75.07428,32.390625,40.5,79.5625,7.515625
29/11/00,0.313616,32.53125,22.875,42.75,75.07428,32.15625,39.0625,77.1875,7.625
30/11/00,0.294643,28.6875,26.5,38.0625,72.586876,31.6875,37.3125,74.5,7
01/12/00,0.304688,28.3125,26.4375,34.125,67.159821,33.65625,37.8125,74.5625,7.125
04/12/00,0.297991,28.21875,28.1875,32.9375,66.481438,34.03125,39.625,76.5,6.625
05/12/00,0.303571,29.9375,31.5,36,68.742714,38.34375,45.6875,80.1875,7.375
06/12/00,0.25558,28.34375,30.1875,31.75,64.446297,33.59375,46.3125,77.625,7
07/12/00,0.25558,26.5625,28.3125,32.3125,64.220169,31.5,42.875,78.25,7.15625
08/12/00,0.268973,27.21875,30.0625,34,69.647224,34.1875,49.5,78.625,6.84375
11/12/00,0.271205,29.03125,31.9375,37.4375,78.240059,37.0625,51.875,81.6875,6.78125
12/12/00,0.274554,29.1875,30.75,36.5,75.300407,35.34375,52.8125,80.1875,6.9375
13/12/00,0.267857,28.625,28.375,35.5,72.813004,33.09375,48,79,6.546875
14/12/00,0.257813,27.75,27.5,35.125,73.039131,28.65625,49.25,76.3125,6.1875
15/12/00,0.251116,24.59375,28.5625,32.4375,70.325607,31.21875,47,74.0625,5.109375
18/12/00,0.254464,23.90625,32,33.25,69.647224,31.78125,47.75,74,5.5625
19/12/00,0.25,22.40625,30.625,33.4375,70.325607,32,48,73.1875,5.15625
20/12/00,0.256696,20.75,28.5,31.9375,66.707565,28.625,43,69.8125,4.6875
21/12/00,0.251116,21.71875,29.5,33.125,63.315655,29.90625,43.875,69.5625,4.84375
22/12/00,0.267857,23.21875,31.875,32.9375,67.838203,32.84375,47.625,69.5,5.734375
26/12/00,0.262277,23.4375,30.9375,32.875,72.360748,32.96875,46.75,69.4375,5.5625
27/12/00,0.264509,23.21875,30.6875,32.5625,76.657173,32.75,50,69.375,5.96875
28/12/00,0.264509,22.28125,31.0625,30.9375,75.300407,30.8125,49.75,69.5,6
29/12/00,0.265625,21.6875,29.0625,30.0625,73.265259,29.09375,47.375,69.5,6.0625
02/01/01,0.265625,21.6875,26.375,31.0625,73.265259,23.367188,46.3125,67.625,5.96875
03/01/01,0.292411,23.96875,32,34.234375,87.285156,28.96875,50.25,74.5625,6
04/01/01,0.304688,24.21875,32.5625,33.796875,83.440987,26.875,52.0625,73.375,6.230469
05/01/01,0.292411,24.5625,30.125,32.0625,76.657173,25.75,47.3125,75.375,6.25
08/01/01,0.295759,24.46875,29.9375,31.9375,78.692314,24.78125,47,75.125,5.875
09/01/01,0.30692,25.90625,31.5,32.25,74.848152,24.90625,44.75,75.375,6.0625
10/01/01,0.295759,26.4375,32.75,33,76.657173,22.875,46.4375,75.9375,5.9375
11/01/01,0.321429,27.5,33.3125,33.375,80.04908,24.03125,49.625,74.8125,6.5625
12/01/01,0.30692,26.75,32.3125,32.125,80.04908,25.21875,47.875,75.75,6.875
16/01/01,0.305804,26.28125,31.8125,31.375,76.883301,25.4375,47.6875,76.5,6.375
17/01/01,0.300223,26.46875,33.25,30.5,81.179718,26.75,50.5625,76.1875,6.625
18/01/01,0.333705,27.75,33.8125,32.1875,86.606773,28,51.25,75.75,7.125
19/01/01,0.348214,30.5,34.5625,33.5625,89.320297,29.125,50.3125,76.6875,7.265625
22/01/01,0.34375,30.0625,31.8125,33.375,85.02388,29.96875,48.5625,76.5625,6.75
23/01/01,0.366071,30.28125,31.484375,35.375,85.02388,29.71875,45,76.1875,7.066406
24/01/01,0.366071,31.46875,30.0625,36.25,84.797752,30.0625,43.5,72.875,7.421875
25/01/01,0.356027,30.90625,29.9375,34.5,81.405846,28.53125,42.0625,74,7.46875
26/01/01,0.34933,32,30.375,35.875,81.631973,29.03125,41.5,73.5625,7.5
29/01/01,0.387277,32.25,30.4375,37.0625,83.576668,27,43.950001,73.5,7.359375
30/01/01,0.388393,31.6875,30.3125,37,83.251045,26.375,44.73,73,7.5625
31/01/01,0.386161,30.53125,29.125,37,82.527435,21.84375,43.799999,73.550003,7.375
01/02/01,0.377232,31.1875,30.0625,37.8125,79.813904,22.71875,43.709999,72.910004,7.546875
02/02/01,0.368304,30.40625,27.75,35.6875,77.172737,21.78125,43.080002,70.459999,7.65625
05/02/01,0.360491,30.96875,27.5,34.6875,73.844147,22.6875,41.009998,70.18,8.015625
06/02/01,0.377232,31.28125,27.625,35.4375,75.436081,22,41.009998,71.339996,7.921875
07/02/01,0.370536,32.34375,27.6875,34.9375,72.179848,20.15625,39,71.639999,7.75
08/02/01,0.370536,31.125,27.125,34.625,71.709503,17.96875,38.75,72.510002,7.703125
09/02/01,0.341518,29.5625,23.5625,33.5,68.380913,17.6875,37.330002,72.110001,7.78125
12/02/01,0.351563,29.375,23,34.5625,70.081383,18.9375,37.700001,73.510002,7.5
